Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4477948844432831"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.35049283504486084"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.44777628779411316"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4785274863243103"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3566233515739441"
"Essential epidemiology: an introduction for students and health professionals","497","0.5563300251960754"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.3884696066379547"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3104548156261444"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4589890241622925"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.5308480262756348"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.3400486707687378"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.36102595925331116"
"Suicide in Australian farming, 1988–1997","196","0.45443907380104065"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5264258980751038"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.350267231464386"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.3459201753139496"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.5002226829528809"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.4687279462814331"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.5193935632705688"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.40722447633743286"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.42624256014823914"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3842051923274994"
"Mental health and socio-economic variations in Australian suicide","0","0.5596757531166077"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.507817268371582"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3913578391075134"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5228651165962219"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.41731253266334534"
"The decline in Australian young male suicide","102","0.44115716218948364"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3467079699039459"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4181240200996399"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.3988959789276123"
"Applications of system dynamics modelling to support health policy","93","0.6111363172531128"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6221611499786377"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.51951664686203"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.3591066300868988"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5337870121002197"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.4955134391784668"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.4484984576702118"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.44004330039024353"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.4835796356201172"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.35581865906715393"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.38995036482810974"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.43528494238853455"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.3911999464035034"
"Divergent trends in suicide by socio-economic status in Australia","72","0.4016112983226776"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5965338945388794"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.38884320855140686"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.6225166916847229"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6142727136611938"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.5463210344314575"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.4564721882343292"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.3605719804763794"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.45524752140045166"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.45980125665664673"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.4398878216743469"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.4045518934726715"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.4105062186717987"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5393514037132263"
"Spatial clusters of suicide in Australia","47","0.29907554388046265"
