Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4497515857219696"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3582078218460083"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4651431441307068"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.49224233627319336"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.36802908778190613"
"Essential epidemiology: an introduction for students and health professionals","497","0.5521002411842346"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.3929024040699005"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3363775908946991"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4677083492279053"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.5179903507232666"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.37415117025375366"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.38292625546455383"
"Suicide in Australian farming, 1988–1997","196","0.44943147897720337"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5202372670173645"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.33847320079803467"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.3164861500263214"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.48019787669181824"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.46198445558547974"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.5279200077056885"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.4190669059753418"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.40784773230552673"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.38535478711128235"
