Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4577418267726898"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.4423394501209259"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.42937636375427246"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.2965334951877594"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3578406870365143"
"Essential epidemiology: an introduction for students and health professionals","497","0.4910639822483063"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.4240856170654297"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3715325593948364"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4042015075683594"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.3539271056652069"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.45418787002563477"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.32183778285980225"
"Suicide in Australian farming, 1988–1997","196","0.36472636461257935"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.47897088527679443"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.38989561796188354"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.4658580720424652"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4058479368686676"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.4308019280433655"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.434512734413147"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.39022836089134216"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.39297816157341003"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.33514168858528137"
"Mental health and socio-economic variations in Australian suicide","0","0.4556986689567566"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5373022556304932"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3545410633087158"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5569950938224792"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.4591660797595978"
"The decline in Australian young male suicide","102","0.3314855396747589"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.381965696811676"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4357009828090668"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.3593454360961914"
"Applications of system dynamics modelling to support health policy","93","0.5210179686546326"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5725206136703491"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5667492747306824"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.40679723024368286"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5671606063842773"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.4385671615600586"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.3537849485874176"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.43392515182495117"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.34080934524536133"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3943125009536743"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.4134707748889923"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.35979288816452026"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.3656884729862213"
"Divergent trends in suicide by socio-economic status in Australia","72","0.3550979793071747"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5611266493797302"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.4402448832988739"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.6120676398277283"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6017895936965942"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.49225589632987976"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.3965892493724823"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.4052715301513672"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.4066908359527588"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.41159307956695557"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.3947875499725342"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.3861265480518341"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.3920797109603882"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5311378836631775"
"Spatial clusters of suicide in Australia","47","0.37473350763320923"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.28394436836242676"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.584263801574707"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.39285627007484436"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.4068196415901184"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.4997972249984741"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.4593459963798523"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.42086589336395264"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.6047090291976929"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.5039257407188416"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.41789111495018005"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.4174942374229431"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.42772331833839417"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.6105367541313171"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.4751640856266022"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.5741563439369202"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.2834305167198181"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.4265151619911194"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.54705810546875"
"The impact of sociodemographic and health-service factors on breast-feeding in sub-Saharan African countries with high diarrhoea mortality","0","0.5690507888793945"
"Associations between climate variability, unemployment and suicide in Australia: a multicity study","32","0.339616984128952"
"Determinants of early introduction of solid, semi-solid or soft foods among infants aged 3–5 months in four Anglophone West African countries","30","0.5522472858428955"
"The Australian epidemic of cardiovascular mortality 1935–2005: effects of period and birth cohort","30","0.4468117356300354"
"Recruitment to mammography screening: a randomised trial and meta‐analysis of invitation letters and telephone calls","30","0.585204541683197"
"Predictors of non‐attendance from BreastScreen NSW in women who report current mammography screening","29","0.5865481495857239"
"Tuberculosis disease burden and attributable risk factors in Nigeria, 1990–2016","28","0.4338298738002777"
"A decision-support tool to inform Australian strategies for preventing suicide and suicidal behaviour","0","0.5386487245559692"
"Trends and factors associated with complementary feeding practices in Ethiopia from 2005 to 2016","27","0.5967786312103271"
"Systematic review of reporting rates of adverse events following immunization: an international comparison of post-marketing surveillance programs with reference to China","27","0.36275869607925415"
"Trends in socioeconomic inequalities in mortality from ischaemic heart disease and stroke in Australia, 1979–2006","27","0.3679168224334717"
"A decision support tool to inform local suicide prevention activity in Greater Western Sydney (Australia)","26","0.3974865972995758"
"Systems modelling tools to support policy and planning","26","0.43648993968963623"
"Assessment of provider-initiated HIV screening in Nigeria with sub-Saharan African comparison","26","0.38092902302742004"
"General practitioner attitudes to prescribing hepatitis C antiviral therapy in a community setting","26","0.3891967833042145"
"Mental disorders and socioeconomic status: impact on population risk of attempted suicide in Australia","26","0.5876584053039551"
"The prevalence of diabetes among adults aged 40 years and over in Fiji","25","0.21480688452720642"
"Suicide by hanging is a priority for suicide prevention: method specific suicide in India (2001–2014)","24","0.5507150292396545"
"Spatiotemporal variation in diabetes mortality in China: multilevel evidence from 2006 and 2012","24","0.34224358201026917"
"The effects of involuntary job loss on suicide and suicide attempts among young adults: Evidence from a matched case–control study","24","0.37351343035697937"
"Cancer detection and mammogram volume of radiologists in a population-based screening programme","24","0.4275338649749756"
"Population-based mammography screening and breast cancer incidence in New South Wales, Australia","23","0.2595888376235962"
"Unemployment and youth suicide","23","0.34479424357414246"
"Static metrics of impact for a dynamic problem: The need for smarter tools to guide suicide prevention planning and investment","22","0.42011648416519165"
"Factors influencing risk of premature mortality in community cases of depression: a meta-analytic review","22","0.509047269821167"
"Suicide in paradise: aftermath of the Bali bombings","22","0.45044606924057007"
"Intimate partner violence identified through routine antenatal screening and maternal and perinatal health outcomes","21","0.3688305616378784"
"Determinants of exclusive breastfeeding cessation in the early postnatal period among culturally and linguistically diverse (CALD) Australian mothers","21","0.5017297863960266"
