Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4853312075138092"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.40907829999923706"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4981231689453125"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.46213990449905396"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.37783655524253845"
"Essential epidemiology: an introduction for students and health professionals","497","0.5828986763954163"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.42584165930747986"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.33054327964782715"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4532887041568756"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.47545886039733887"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.3812154233455658"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.40347564220428467"
"Suicide in Australian farming, 1988–1997","196","0.4515170454978943"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5476458072662354"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.34545081853866577"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.37755778431892395"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4834238886833191"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.46313247084617615"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.49357643723487854"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.4373987019062042"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.42396441102027893"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.42142990231513977"
"Mental health and socio-economic variations in Australian suicide","0","0.5354617834091187"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5352991819381714"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.4207841455936432"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5134636759757996"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.4695219397544861"
"The decline in Australian young male suicide","102","0.41802629828453064"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.4052618443965912"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4537470042705536"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.40341320633888245"
"Applications of system dynamics modelling to support health policy","93","0.606285035610199"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6099171042442322"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5383319854736328"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.3301408588886261"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5536048412322998"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.4699364900588989"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.4354492127895355"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4481154680252075"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.45679333806037903"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3931944668292999"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.41073328256607056"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.4020427167415619"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.3694416880607605"
"Divergent trends in suicide by socio-economic status in Australia","72","0.41391995549201965"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5736496448516846"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.4268493950366974"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5956470370292664"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6070287823677063"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.5391279458999634"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.4783658981323242"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.4062637984752655"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.4717717170715332"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.4754684567451477"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.4612775444984436"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.438954621553421"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.4378778636455536"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5725328922271729"
"Spatial clusters of suicide in Australia","47","0.31061145663261414"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.395408034324646"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.6112107634544373"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.3891255557537079"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.4303293824195862"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.4719301760196686"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.43816620111465454"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.520712673664093"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.5717408061027527"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.5454468727111816"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.42572930455207825"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.492331326007843"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.3821224868297577"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.5654342770576477"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.4800357222557068"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.6031278967857361"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.33135244250297546"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.4355033040046692"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.58629310131073"
"The impact of sociodemographic and health-service factors on breast-feeding in sub-Saharan African countries with high diarrhoea mortality","0","0.5620173811912537"
"Associations between climate variability, unemployment and suicide in Australia: a multicity study","32","0.36775270104408264"
"Determinants of early introduction of solid, semi-solid or soft foods among infants aged 3–5 months in four Anglophone West African countries","30","0.560348391532898"
"The Australian epidemic of cardiovascular mortality 1935–2005: effects of period and birth cohort","30","0.4852329194545746"
"Recruitment to mammography screening: a randomised trial and meta‐analysis of invitation letters and telephone calls","30","0.5920119285583496"
"Predictors of non‐attendance from BreastScreen NSW in women who report current mammography screening","29","0.6026034355163574"
"Tuberculosis disease burden and attributable risk factors in Nigeria, 1990–2016","28","0.47720983624458313"
"A decision-support tool to inform Australian strategies for preventing suicide and suicidal behaviour","0","0.5696678757667542"
"Trends and factors associated with complementary feeding practices in Ethiopia from 2005 to 2016","27","0.6172158718109131"
"Systematic review of reporting rates of adverse events following immunization: an international comparison of post-marketing surveillance programs with reference to China","27","0.5024570822715759"
"Trends in socioeconomic inequalities in mortality from ischaemic heart disease and stroke in Australia, 1979–2006","27","0.3600981533527374"
"A decision support tool to inform local suicide prevention activity in Greater Western Sydney (Australia)","26","0.4091101586818695"
"Systems modelling tools to support policy and planning","26","0.39328253269195557"
"Assessment of provider-initiated HIV screening in Nigeria with sub-Saharan African comparison","26","0.41381096839904785"
"General practitioner attitudes to prescribing hepatitis C antiviral therapy in a community setting","26","0.36222994327545166"
"Mental disorders and socioeconomic status: impact on population risk of attempted suicide in Australia","26","0.5980942845344543"
"The prevalence of diabetes among adults aged 40 years and over in Fiji","25","0.3072779178619385"
"Suicide by hanging is a priority for suicide prevention: method specific suicide in India (2001–2014)","24","0.5595796704292297"
"Spatiotemporal variation in diabetes mortality in China: multilevel evidence from 2006 and 2012","24","0.3908831775188446"
"The effects of involuntary job loss on suicide and suicide attempts among young adults: Evidence from a matched case–control study","24","0.4231947660446167"
"Cancer detection and mammogram volume of radiologists in a population-based screening programme","24","0.4838864505290985"
"Population-based mammography screening and breast cancer incidence in New South Wales, Australia","23","0.3678750693798065"
"Unemployment and youth suicide","23","0.37494730949401855"
"Static metrics of impact for a dynamic problem: The need for smarter tools to guide suicide prevention planning and investment","22","0.36923056840896606"
"Factors influencing risk of premature mortality in community cases of depression: a meta-analytic review","22","0.48414888978004456"
"Suicide in paradise: aftermath of the Bali bombings","22","0.43532416224479675"
