Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.44447776675224304"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.4210241734981537"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4077313542366028"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4501098692417145"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3347609043121338"
"Essential epidemiology: an introduction for students and health professionals","497","0.4751508831977844"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.40607529878616333"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.4042307436466217"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.39727747440338135"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.33477672934532166"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.3519783616065979"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.3953491449356079"
"Suicide in Australian farming, 1988–1997","196","0.3990083932876587"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.38341647386550903"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.4116419553756714"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.2585022449493408"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4398704171180725"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.34023618698120117"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.48517027497291565"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.36033645272254944"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.43491318821907043"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.29449278116226196"
"Mental health and socio-economic variations in Australian suicide","0","0.44097617268562317"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5001497864723206"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.33860382437705994"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.4855612814426422"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.3008767068386078"
"The decline in Australian young male suicide","102","0.37626588344573975"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.28876692056655884"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.24955275654792786"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.37055549025535583"
"Applications of system dynamics modelling to support health policy","93","0.5454296469688416"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5217844247817993"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.45498543977737427"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.4204145669937134"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.42194074392318726"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.5025878548622131"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.3861139118671417"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.3875552713871002"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.33945944905281067"
