Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4691632390022278"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3640904724597931"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.48600274324417114"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.45824068784713745"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.292519748210907"
"Essential epidemiology: an introduction for students and health professionals","497","0.5500091314315796"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.35062509775161743"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.27563682198524475"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.47349393367767334"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.4439365565776825"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.31300613284111023"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.4112914800643921"
"Suicide in Australian farming, 1988–1997","196","0.3438285291194916"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5925718545913696"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.3407731354236603"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.35990527272224426"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.45848825573921204"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.48646190762519836"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.4794507324695587"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.32553914189338684"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.41800457239151"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3486792743206024"
"Mental health and socio-economic variations in Australian suicide","0","0.5051518678665161"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.4961497485637665"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.36422380805015564"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.6005340218544006"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.36780673265457153"
"The decline in Australian young male suicide","102","0.4357099235057831"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.24726788699626923"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.3839341402053833"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.388008177280426"
"Applications of system dynamics modelling to support health policy","93","0.6023613214492798"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6030375957489014"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.46036356687545776"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.23931244015693665"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5321779251098633"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.41969361901283264"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.3972499668598175"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4193407893180847"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.3927282691001892"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3525126874446869"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.32535508275032043"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.4790509045124054"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.3697001039981842"
"Divergent trends in suicide by socio-economic status in Australia","72","0.36240679025650024"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5873849987983704"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.4119541347026825"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5643506050109863"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6056657433509827"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.5351015329360962"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.42191073298454285"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.4153268337249756"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.42663148045539856"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.47671622037887573"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.39745163917541504"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.4067620635032654"
