Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4573672115802765"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3686319887638092"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.46083346009254456"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4679570496082306"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.34923800826072693"
"Essential epidemiology: an introduction for students and health professionals","497","0.5738818645477295"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.37625327706336975"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.2911098897457123"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.3875143527984619"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.4869196116924286"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.35730862617492676"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.3804111182689667"
"Suicide in Australian farming, 1988–1997","196","0.43452176451683044"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5488393902778625"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.34013429284095764"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.36188095808029175"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4799167811870575"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.46933427453041077"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.5138260722160339"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.39613986015319824"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.40396013855934143"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3847331404685974"
"Mental health and socio-economic variations in Australian suicide","0","0.5295435786247253"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.517055094242096"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.4079071283340454"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5268577933311462"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.46179959177970886"
"The decline in Australian young male suicide","102","0.3760175108909607"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.34958282113075256"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4229986071586609"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.3821294903755188"
"Applications of system dynamics modelling to support health policy","93","0.5745798349380493"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5892161726951599"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.4949555993080139"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.3128889799118042"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5019165873527527"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.43519896268844604"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.43479302525520325"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4230647683143616"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.44134366512298584"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.36064186692237854"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.36472228169441223"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.43307703733444214"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.3326815664768219"
"Divergent trends in suicide by socio-economic status in Australia","72","0.36387890577316284"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5355879664421082"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.40051376819610596"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5582020282745361"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.5779455900192261"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.4601227939128876"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.41011735796928406"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.366517037153244"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.44315817952156067"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.4430393874645233"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.42470866441726685"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.3663351833820343"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.4015829563140869"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5434650778770447"
"Spatial clusters of suicide in Australia","47","0.29319632053375244"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.4223407506942749"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.5697356462478638"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.3975461423397064"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.4163821041584015"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.4336644113063812"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.4115082919597626"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.546410083770752"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.533854067325592"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.5251644849777222"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.4117226004600525"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.47969627380371094"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.3478797972202301"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.5235813856124878"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.45698288083076477"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.5712899565696716"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.32702651619911194"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.43357616662979126"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.5650029182434082"
"The impact of sociodemographic and health-service factors on breast-feeding in sub-Saharan African countries with high diarrhoea mortality","0","0.5557453036308289"
"Associations between climate variability, unemployment and suicide in Australia: a multicity study","32","0.33808135986328125"
"Determinants of early introduction of solid, semi-solid or soft foods among infants aged 3–5 months in four Anglophone West African countries","30","0.5352319478988647"
"The Australian epidemic of cardiovascular mortality 1935–2005: effects of period and birth cohort","30","0.47688737511634827"
"Recruitment to mammography screening: a randomised trial and meta‐analysis of invitation letters and telephone calls","30","0.5516008138656616"
"Predictors of non‐attendance from BreastScreen NSW in women who report current mammography screening","29","0.5651257634162903"
"Tuberculosis disease burden and attributable risk factors in Nigeria, 1990–2016","28","0.4097375273704529"
"A decision-support tool to inform Australian strategies for preventing suicide and suicidal behaviour","0","0.5732147693634033"
"Trends and factors associated with complementary feeding practices in Ethiopia from 2005 to 2016","27","0.5948173999786377"
"Systematic review of reporting rates of adverse events following immunization: an international comparison of post-marketing surveillance programs with reference to China","27","0.4681800305843353"
"Trends in socioeconomic inequalities in mortality from ischaemic heart disease and stroke in Australia, 1979–2006","27","0.3496532440185547"
"A decision support tool to inform local suicide prevention activity in Greater Western Sydney (Australia)","26","0.4397817552089691"
"Systems modelling tools to support policy and planning","26","0.3892545700073242"
"Assessment of provider-initiated HIV screening in Nigeria with sub-Saharan African comparison","26","0.4104764759540558"
"General practitioner attitudes to prescribing hepatitis C antiviral therapy in a community setting","26","0.339446097612381"
"Mental disorders and socioeconomic status: impact on population risk of attempted suicide in Australia","26","0.5706154704093933"
"The prevalence of diabetes among adults aged 40 years and over in Fiji","25","0.27989983558654785"
"Suicide by hanging is a priority for suicide prevention: method specific suicide in India (2001–2014)","24","0.5210109949111938"
"Spatiotemporal variation in diabetes mortality in China: multilevel evidence from 2006 and 2012","24","0.35561496019363403"
"The effects of involuntary job loss on suicide and suicide attempts among young adults: Evidence from a matched case–control study","24","0.4069676995277405"
"Cancer detection and mammogram volume of radiologists in a population-based screening programme","24","0.46662425994873047"
"Population-based mammography screening and breast cancer incidence in New South Wales, Australia","23","0.3513050079345703"
"Unemployment and youth suicide","23","0.33606454730033875"
"Static metrics of impact for a dynamic problem: The need for smarter tools to guide suicide prevention planning and investment","22","0.36023351550102234"
"Factors influencing risk of premature mortality in community cases of depression: a meta-analytic review","22","0.45247355103492737"
"Suicide in paradise: aftermath of the Bali bombings","22","0.43773317337036133"
"Intimate partner violence identified through routine antenatal screening and maternal and perinatal health outcomes","21","0.35911044478416443"
"Determinants of exclusive breastfeeding cessation in the early postnatal period among culturally and linguistically diverse (CALD) Australian mothers","21","0.5211438536643982"
"The impact of strengthening mental health services to prevent suicidal behaviour","21","0.3905141055583954"
"Have policy responses in Nigeria resulted in improvements in infant and young child feeding practices in Nigeria?","21","0.4297765791416168"
"Reforming mental health in China and India","21","0.45076772570610046"
"Stability and instability of subjective well-being in the transition from adolescence to young adulthood: Longitudinal evidence from 20991 young Australians","21","0.3031609356403351"
"Dynamic pattern of suicide in Australia, 1986–2005: a descriptive-analytic study","21","0.4563468098640442"
"SMS SOS: a randomized controlled trial to reduce self-harm and suicide attempts using SMS text messaging","20","0.40048736333847046"
"Development of the Australian neighborhood social fragmentation index and its association with spatial variation in depression across communities","20","0.19151480495929718"
"Population attributable risk of key modifiable risk factors associated with non-exclusive breastfeeding in Nigeria","20","0.4003561735153198"
"Geographical inequality in tobacco control in china: multilevel evidence from 98 058 participants","20","0.5002317428588867"
"All-age hospitalization rates in coal seam gas areas in Queensland, Australia, 1995–2011","20","0.31690138578414917"
"Factors associated with early introduction of formula and/or solid, semi-solid or soft foods in seven Francophone West African countries","20","0.5313032865524292"
"Mammography screening participation: Effects of a media campaign targeting Italian‐speaking women","20","0.5684288144111633"
"Trends and factors associated with the utilisation of antenatal care services during the Millennium Development Goals era in Tanzania","19","0.423067569732666"
"Utilisation trends of rosiglitazone and pioglitazone in Australia before and after safety warnings","19","0.4111664295196533"
"Diarrhoea deaths and disability-adjusted life years attributable to suboptimal breastfeeding practices in Nigeria: findings from the global burden of disease study 2016","18","0.3951250910758972"
"The effect of leaving employment on mental health: testing ‘adaptation’versus ‘sensitisation’in a cohort of working-age Australians","18","0.49612778425216675"
"Breast cancer risk factors in Queensland women attending population-based mammography screening","18","0.4177797734737396"
"National suicide prevention strategies: A comparison","18","0.4829655885696411"
"Impacts of licensed premises trading hour policies on alcohol‐related harms","17","0.5966055989265442"
"Recent declines in Australian male suicide are real, not artefactual","17","0.4556027054786682"
"The geographic heterogeneity of suicide rates in India by religion, caste, tribe, and other backward classes.","16","0.5853050947189331"
"Factors influencing suicide in older rural males: a review of Australian studies","16","0.4624933898448944"
