Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.46274521946907043"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.36809295415878296"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.48377031087875366"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.42817679047584534"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.2727227210998535"
"Essential epidemiology: an introduction for students and health professionals","497","0.535309374332428"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.35632646083831787"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.271446168422699"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.48457440733909607"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.41183310747146606"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.30761250853538513"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.4473113417625427"
"Suicide in Australian farming, 1988–1997","196","0.393196165561676"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5745555758476257"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.38403964042663574"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.3568449318408966"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4541337192058563"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.4705146849155426"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.4775673449039459"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.3245134949684143"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.45302534103393555"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3534436523914337"
"Mental health and socio-economic variations in Australian suicide","0","0.49218231439590454"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.4864237904548645"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3861735761165619"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.6033276319503784"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.371245801448822"
"The decline in Australian young male suicide","102","0.41829121112823486"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.28273430466651917"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.39583730697631836"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.4051826298236847"
"Applications of system dynamics modelling to support health policy","93","0.6032024025917053"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6073369979858398"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.44262877106666565"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.26203855872154236"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.4979858696460724"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.43566158413887024"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.39040929079055786"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4292871356010437"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.39612144231796265"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3700234591960907"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.3441733717918396"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.49664080142974854"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.4059390127658844"
"Divergent trends in suicide by socio-economic status in Australia","72","0.39333271980285645"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5627588033676147"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.3950607478618622"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5739833116531372"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6188172101974487"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.5217671990394592"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.4391625225543976"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.378127783536911"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.4393066167831421"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.48199263215065"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.42082929611206055"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.4123688042163849"
