Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.40219974517822266"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3887280225753784"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.46198344230651855"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.34529948234558105"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.2338489294052124"
"Essential epidemiology: an introduction for students and health professionals","497","0.5135995745658875"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.3464604318141937"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.2791769504547119"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4391871392726898"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.3562014698982239"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.42121124267578125"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.33221668004989624"
"Suicide in Australian farming, 1988–1997","196","0.38826411962509155"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.4760591685771942"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.35203298926353455"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.4290573298931122"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.3846922814846039"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.4493774473667145"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.4715164601802826"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.3651825785636902"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.4201875925064087"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.2858354151248932"
"Mental health and socio-economic variations in Australian suicide","0","0.5199260115623474"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.47871920466423035"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.32931238412857056"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.597074568271637"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.3879021406173706"
"The decline in Australian young male suicide","102","0.34556955099105835"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3745567798614502"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.3963198661804199"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.37143781781196594"
"Applications of system dynamics modelling to support health policy","93","0.5987838506698608"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6264799237251282"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.4918527603149414"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.32617849111557007"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.48090848326683044"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.4182913601398468"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.3823356628417969"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.47889265418052673"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.36637747287750244"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3566681146621704"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.44479840993881226"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.47033190727233887"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.33727869391441345"
"Divergent trends in suicide by socio-economic status in Australia","72","0.3777271509170532"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5826988220214844"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.3826374113559723"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.6138985753059387"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6082472205162048"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.48482975363731384"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.4369245767593384"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.3448462188243866"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.3684433698654175"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.43849486112594604"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.39815568923950195"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.36094605922698975"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.34886863827705383"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5049645900726318"
"Spatial clusters of suicide in Australia","47","0.3371727764606476"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.3629714846611023"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.6037741303443909"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.410891056060791"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.39274340867996216"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.35515496134757996"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.4092499315738678"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.4336528778076172"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.5970592498779297"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.477152943611145"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.38213324546813965"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.36301904916763306"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.3820365071296692"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.596585750579834"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.43903103470802307"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.5981913805007935"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.2999781370162964"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.45045116543769836"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.5803791880607605"
"The impact of sociodemographic and health-service factors on breast-feeding in sub-Saharan African countries with high diarrhoea mortality","0","0.5970260500907898"
"Associations between climate variability, unemployment and suicide in Australia: a multicity study","32","0.31217116117477417"
"Determinants of early introduction of solid, semi-solid or soft foods among infants aged 3–5 months in four Anglophone West African countries","30","0.4770192503929138"
"The Australian epidemic of cardiovascular mortality 1935–2005: effects of period and birth cohort","30","0.4099971055984497"
"Recruitment to mammography screening: a randomised trial and meta‐analysis of invitation letters and telephone calls","30","0.621026337146759"
"Predictors of non‐attendance from BreastScreen NSW in women who report current mammography screening","29","0.5915454030036926"
"Tuberculosis disease burden and attributable risk factors in Nigeria, 1990–2016","28","0.4419766068458557"
"A decision-support tool to inform Australian strategies for preventing suicide and suicidal behaviour","0","0.6095983386039734"
"Trends and factors associated with complementary feeding practices in Ethiopia from 2005 to 2016","27","0.6292087435722351"
"Systematic review of reporting rates of adverse events following immunization: an international comparison of post-marketing surveillance programs with reference to China","27","0.37755274772644043"
"Trends in socioeconomic inequalities in mortality from ischaemic heart disease and stroke in Australia, 1979–2006","27","0.3415417969226837"
"A decision support tool to inform local suicide prevention activity in Greater Western Sydney (Australia)","26","0.451212078332901"
"Systems modelling tools to support policy and planning","26","0.41141048073768616"
"Assessment of provider-initiated HIV screening in Nigeria with sub-Saharan African comparison","26","0.3561151623725891"
"General practitioner attitudes to prescribing hepatitis C antiviral therapy in a community setting","26","0.3670797348022461"
"Mental disorders and socioeconomic status: impact on population risk of attempted suicide in Australia","26","0.5980809330940247"
"The prevalence of diabetes among adults aged 40 years and over in Fiji","25","0.27034494280815125"
"Suicide by hanging is a priority for suicide prevention: method specific suicide in India (2001–2014)","24","0.5201029181480408"
"Spatiotemporal variation in diabetes mortality in China: multilevel evidence from 2006 and 2012","24","0.33856263756752014"
"The effects of involuntary job loss on suicide and suicide attempts among young adults: Evidence from a matched case–control study","24","0.3949362337589264"
"Cancer detection and mammogram volume of radiologists in a population-based screening programme","24","0.36352190375328064"
"Population-based mammography screening and breast cancer incidence in New South Wales, Australia","23","0.2264472246170044"
"Unemployment and youth suicide","23","0.387485146522522"
"Static metrics of impact for a dynamic problem: The need for smarter tools to guide suicide prevention planning and investment","22","0.43401750922203064"
"Factors influencing risk of premature mortality in community cases of depression: a meta-analytic review","22","0.455251544713974"
"Suicide in paradise: aftermath of the Bali bombings","22","0.4225040674209595"
"Intimate partner violence identified through routine antenatal screening and maternal and perinatal health outcomes","21","0.3666335940361023"
"Determinants of exclusive breastfeeding cessation in the early postnatal period among culturally and linguistically diverse (CALD) Australian mothers","21","0.4798178970813751"
"The impact of strengthening mental health services to prevent suicidal behaviour","21","0.4455624222755432"
"Have policy responses in Nigeria resulted in improvements in infant and young child feeding practices in Nigeria?","21","0.38245660066604614"
"Reforming mental health in China and India","21","0.37019333243370056"
"Stability and instability of subjective well-being in the transition from adolescence to young adulthood: Longitudinal evidence from 20991 young Australians","21","0.35401520133018494"
"Dynamic pattern of suicide in Australia, 1986–2005: a descriptive-analytic study","21","0.47424280643463135"
"SMS SOS: a randomized controlled trial to reduce self-harm and suicide attempts using SMS text messaging","20","0.31929200887680054"
"Development of the Australian neighborhood social fragmentation index and its association with spatial variation in depression across communities","20","0.346362829208374"
"Population attributable risk of key modifiable risk factors associated with non-exclusive breastfeeding in Nigeria","20","0.41738802194595337"
"Geographical inequality in tobacco control in china: multilevel evidence from 98 058 participants","20","0.3747286796569824"
"All-age hospitalization rates in coal seam gas areas in Queensland, Australia, 1995–2011","20","0.3355603814125061"
"Factors associated with early introduction of formula and/or solid, semi-solid or soft foods in seven Francophone West African countries","20","0.47939345240592957"
"Mammography screening participation: Effects of a media campaign targeting Italian‐speaking women","20","0.6060858964920044"
"Trends and factors associated with the utilisation of antenatal care services during the Millennium Development Goals era in Tanzania","19","0.43481138348579407"
"Utilisation trends of rosiglitazone and pioglitazone in Australia before and after safety warnings","19","0.299837201833725"
