Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.5330798625946045"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.4652124345302582"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.5275484323501587"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.41078346967697144"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3621486723423004"
"Essential epidemiology: an introduction for students and health professionals","497","0.4334087669849396"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.4453980028629303"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3707575798034668"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.46272242069244385"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.41857388615608215"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.4421961009502411"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.3905129134654999"
"Suicide in Australian farming, 1988–1997","196","0.3715170621871948"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5413146018981934"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.36940228939056396"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.40427476167678833"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.5850933194160461"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.47398537397384644"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.560752272605896"
