Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.513394296169281"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.43219906091690063"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4684145748615265"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.406803160905838"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.38089561462402344"
"Essential epidemiology: an introduction for students and health professionals","497","0.5264696478843689"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.4064042270183563"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.39767327904701233"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4320564270019531"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.4698951840400696"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.41677606105804443"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.3516109585762024"
"Suicide in Australian farming, 1988–1997","196","0.45982739329338074"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5386373996734619"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.39206236600875854"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.41054725646972656"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.48973071575164795"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.5388792157173157"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.49574264883995056"
