Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.5268236398696899"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.439334511756897"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4810451865196228"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4054710268974304"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3687562048435211"
"Essential epidemiology: an introduction for students and health professionals","497","0.5112731456756592"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.3993898928165436"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.38078388571739197"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4408920407295227"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.4548598825931549"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.4024807810783386"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.36811593174934387"
"Suicide in Australian farming, 1988–1997","196","0.4491595923900604"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5421052575111389"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.3665514886379242"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.4214082360267639"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.48317745327949524"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.5319128036499023"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.4684387743473053"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.40809863805770874"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.41386666893959045"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.40386128425598145"
"Mental health and socio-economic variations in Australian suicide","0","0.5319617390632629"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.6024864912033081"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.34491148591041565"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.6324891448020935"
