Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.35851535201072693"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3004375398159027"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4137280583381653"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.3953380286693573"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3172527551651001"
"Essential epidemiology: an introduction for students and health professionals","497","0.47745785117149353"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.33925214409828186"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.23731468617916107"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.41917550563812256"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.34462782740592957"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.28368082642555237"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.3425650894641876"
"Suicide in Australian farming, 1988–1997","196","0.30775436758995056"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.49587151408195496"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.38161489367485046"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.27167028188705444"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4200139343738556"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.39249366521835327"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.44246479868888855"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.2636909782886505"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.43460196256637573"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.32753586769104004"
"Mental health and socio-economic variations in Australian suicide","0","0.4756779074668884"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.4866081178188324"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3581167161464691"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5408345460891724"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.28673410415649414"
"The decline in Australian young male suicide","102","0.3844347894191742"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.25755736231803894"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.32286277413368225"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.36652469635009766"
"Applications of system dynamics modelling to support health policy","93","0.5413594841957092"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5284972786903381"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.4131087362766266"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.2195795774459839"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.4667603373527527"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.4378323256969452"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.3275517523288727"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.3157481551170349"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.3737852871417999"
