Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4836660325527191"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.39249736070632935"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.5083954930305481"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4887795150279999"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.37594476342201233"
"Essential epidemiology: an introduction for students and health professionals","497","0.5813976526260376"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.4146161377429962"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.36683329939842224"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.5019440650939941"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.529310405254364"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.4182591736316681"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.4175180494785309"
"Suicide in Australian farming, 1988–1997","196","0.46563026309013367"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5148715376853943"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.3690613806247711"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.40682393312454224"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.5211615562438965"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.472584068775177"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.5466311573982239"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.4571189284324646"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.43429625034332275"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.4051510691642761"
"Mental health and socio-economic variations in Australian suicide","0","0.5407382249832153"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5660339593887329"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.43178677558898926"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5437608957290649"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.4909120202064514"
"The decline in Australian young male suicide","102","0.47371143102645874"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.42578327655792236"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.48273327946662903"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.43290725350379944"
"Applications of system dynamics modelling to support health policy","93","0.6410900354385376"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6698784828186035"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5735304951667786"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.35832321643829346"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5923137664794922"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.5291408896446228"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.4612790644168854"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.5077945590019226"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.5339086055755615"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.42194995284080505"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.4092009663581848"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.4511646330356598"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.4370744824409485"
"Divergent trends in suicide by socio-economic status in Australia","72","0.44460195302963257"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.6108159422874451"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.4244258999824524"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.6674469113349915"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6592004895210266"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.5790917873382568"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.45273661613464355"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.4155290424823761"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.47364622354507446"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.48042675852775574"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.4897058308124542"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.4276506304740906"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.4436051845550537"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5835888981819153"
"Spatial clusters of suicide in Australia","47","0.331574022769928"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.44178932905197144"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.657535970211029"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.46450015902519226"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.48096853494644165"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.510845959186554"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.49126872420310974"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.6032767295837402"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.627497136592865"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.567682683467865"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.47249993681907654"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.5152925848960876"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.412384569644928"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.6208086013793945"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.5189584493637085"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.6658781170845032"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.36852937936782837"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.45516595244407654"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.6368446946144104"
"The impact of sociodemographic and health-service factors on breast-feeding in sub-Saharan African countries with high diarrhoea mortality","0","0.6065519452095032"
"Associations between climate variability, unemployment and suicide in Australia: a multicity study","32","0.38969871401786804"
"Determinants of early introduction of solid, semi-solid or soft foods among infants aged 3–5 months in four Anglophone West African countries","30","0.5781118869781494"
"The Australian epidemic of cardiovascular mortality 1935–2005: effects of period and birth cohort","30","0.5629040598869324"
"Recruitment to mammography screening: a randomised trial and meta‐analysis of invitation letters and telephone calls","30","0.6401943564414978"
"Predictors of non‐attendance from BreastScreen NSW in women who report current mammography screening","29","0.6615774035453796"
"Tuberculosis disease burden and attributable risk factors in Nigeria, 1990–2016","28","0.4419337809085846"
"A decision-support tool to inform Australian strategies for preventing suicide and suicidal behaviour","0","0.6316845417022705"
"Trends and factors associated with complementary feeding practices in Ethiopia from 2005 to 2016","27","0.6846261024475098"
"Systematic review of reporting rates of adverse events following immunization: an international comparison of post-marketing surveillance programs with reference to China","27","0.5543437004089355"
"Trends in socioeconomic inequalities in mortality from ischaemic heart disease and stroke in Australia, 1979–2006","27","0.4027690887451172"
"A decision support tool to inform local suicide prevention activity in Greater Western Sydney (Australia)","26","0.4420023560523987"
"Systems modelling tools to support policy and planning","26","0.4156733751296997"
"Assessment of provider-initiated HIV screening in Nigeria with sub-Saharan African comparison","26","0.44006815552711487"
