Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4346512258052826"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.29641303420066833"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.39831215143203735"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.3648863732814789"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.1971120536327362"
"Essential epidemiology: an introduction for students and health professionals","497","0.45899102091789246"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.28766539692878723"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.27167171239852905"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.34815967082977295"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.3534695506095886"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.4349702000617981"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.34755516052246094"
"Suicide in Australian farming, 1988–1997","196","0.31410157680511475"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.41409194469451904"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.3668752610683441"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.38915520906448364"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.3835478127002716"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.3961736559867859"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.40998131036758423"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.2790449261665344"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.3827882409095764"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.2656901180744171"
"Mental health and socio-economic variations in Australian suicide","0","0.4192822575569153"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.47877684235572815"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3430071473121643"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5105312466621399"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.45066332817077637"
"The decline in Australian young male suicide","102","0.4822176694869995"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.36465349793434143"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.3794476389884949"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.3272777199745178"
"Applications of system dynamics modelling to support health policy","93","0.5471116304397583"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5337595343589783"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.47907009720802307"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.2732175588607788"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.4438304305076599"
