Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.501650869846344"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3785253167152405"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.43730080127716064"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.3901856243610382"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3586883246898651"
"Essential epidemiology: an introduction for students and health professionals","497","0.5031075477600098"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.40774551033973694"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.35864463448524475"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.43836095929145813"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.39439821243286133"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.3625507652759552"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.32469844818115234"
"Suicide in Australian farming, 1988–1997","196","0.27654969692230225"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.44991254806518555"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.33355069160461426"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.39263567328453064"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4485529661178589"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.4678933322429657"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.4284643232822418"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.308164119720459"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.3695896863937378"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.36160215735435486"
"Mental health and socio-economic variations in Australian suicide","0","0.4905727803707123"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5112110376358032"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3657658100128174"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5396783947944641"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.41178014874458313"
"The decline in Australian young male suicide","102","0.3839338719844818"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3146095871925354"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.41589030623435974"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.3698636591434479"
"Applications of system dynamics modelling to support health policy","93","0.5542339086532593"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6053597927093506"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.41393038630485535"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.3086510896682739"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.47116619348526"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.45069873332977295"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.3631201684474945"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4131085276603699"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.3152262568473816"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.4248940050601959"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.30134183168411255"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.39950791001319885"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.33658498525619507"
"Divergent trends in suicide by socio-economic status in Australia","72","0.3126063346862793"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5923559069633484"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.402072012424469"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5836510062217712"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6037055253982544"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.48308050632476807"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.41617071628570557"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.43312010169029236"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.3977786898612976"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.4197169244289398"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.377786248922348"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.34244024753570557"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.4360658824443817"
