Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4070490002632141"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3630038797855377"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.44395896792411804"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4007594883441925"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3171725273132324"
"Essential epidemiology: an introduction for students and health professionals","497","0.5469055771827698"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.29957929253578186"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3100532293319702"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.37036219239234924"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.5231077075004578"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.3825220763683319"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.336346834897995"
"Suicide in Australian farming, 1988–1997","196","0.351400762796402"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.42352190613746643"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.4241238534450531"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.3478586971759796"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.38533923029899597"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.46998631954193115"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.5189084410667419"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.4384708106517792"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.4290984272956848"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.33284255862236023"
"Mental health and socio-economic variations in Australian suicide","0","0.4587998390197754"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5434026122093201"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3593946099281311"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5509053468704224"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.38132718205451965"
"The decline in Australian young male suicide","102","0.5075345039367676"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3142945468425751"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.38833075761795044"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.39110541343688965"
"Applications of system dynamics modelling to support health policy","93","0.5784405469894409"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5489073991775513"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.4837707579135895"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.29599738121032715"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.4877391457557678"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.48459360003471375"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.35159215331077576"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4899267256259918"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.4127575755119324"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.35399892926216125"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.3274255394935608"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.4331530034542084"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.3008425235748291"
"Divergent trends in suicide by socio-economic status in Australia","72","0.3202468752861023"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5446476936340332"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.3799630403518677"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5341688990592957"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.5385371446609497"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.4884287714958191"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.40296435356140137"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.3797820806503296"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.39603596925735474"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.42924603819847107"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.3070365786552429"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.3535364866256714"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.37986958026885986"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5677664875984192"
"Spatial clusters of suicide in Australia","47","0.29793089628219604"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.3760620951652527"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.552131175994873"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.38037553429603577"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.4254360795021057"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.37869739532470703"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.3732910752296448"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.5079302787780762"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.5068454146385193"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.5673645734786987"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.47907915711402893"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.40345025062561035"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.39546453952789307"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.5043291449546814"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.45071572065353394"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.5316723585128784"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.28556033968925476"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.41842278838157654"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.5417956709861755"
"The impact of sociodemographic and health-service factors on breast-feeding in sub-Saharan African countries with high diarrhoea mortality","0","0.5759793519973755"
"Associations between climate variability, unemployment and suicide in Australia: a multicity study","32","0.3975523114204407"
"Determinants of early introduction of solid, semi-solid or soft foods among infants aged 3–5 months in four Anglophone West African countries","30","0.5574941039085388"
"The Australian epidemic of cardiovascular mortality 1935–2005: effects of period and birth cohort","30","0.3827001452445984"
"Recruitment to mammography screening: a randomised trial and meta‐analysis of invitation letters and telephone calls","30","0.5215016603469849"
"Predictors of non‐attendance from BreastScreen NSW in women who report current mammography screening","29","0.5173138380050659"
"Tuberculosis disease burden and attributable risk factors in Nigeria, 1990–2016","28","0.3188190758228302"
"A decision-support tool to inform Australian strategies for preventing suicide and suicidal behaviour","0","0.5554869174957275"
"Trends and factors associated with complementary feeding practices in Ethiopia from 2005 to 2016","27","0.5741198658943176"
