Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4193187952041626"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.34330683946609497"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4690299928188324"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4803024232387543"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3416600227355957"
"Essential epidemiology: an introduction for students and health professionals","497","0.5472195148468018"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.3604259490966797"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.26971325278282166"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.3753849267959595"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.4713510572910309"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.3381984829902649"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.4393364191055298"
"Suicide in Australian farming, 1988–1997","196","0.45795148611068726"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.4930364787578583"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.2972825765609741"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.35116907954216003"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.45327866077423096"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.46997976303100586"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.4974997639656067"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.40445810556411743"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.3837464153766632"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.38927364349365234"
"Mental health and socio-economic variations in Australian suicide","0","0.522650420665741"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5004068613052368"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.41922691464424133"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.4930383563041687"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.4246909022331238"
"The decline in Australian young male suicide","102","0.3801722824573517"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3848464787006378"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4043533504009247"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.3232765197753906"
"Applications of system dynamics modelling to support health policy","93","0.5613886713981628"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.567703127861023"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.46166372299194336"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.2994588613510132"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5014024972915649"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.4406466782093048"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.44118136167526245"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4150404930114746"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.45627617835998535"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.33582618832588196"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.352403461933136"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.40250688791275024"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.35496002435684204"
"Divergent trends in suicide by socio-economic status in Australia","72","0.3908717632293701"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5313912630081177"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.36937710642814636"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5511932373046875"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.5578122138977051"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.472492516040802"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.42341136932373047"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.32532432675361633"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.4022892713546753"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.4476442039012909"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.4146718382835388"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.3747672736644745"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.37281376123428345"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5231639742851257"
"Spatial clusters of suicide in Australia","47","0.28406479954719543"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.4200440049171448"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.545233964920044"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.38305917382240295"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.44678717851638794"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.36144232749938965"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.4020267128944397"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.5422275066375732"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.5294169783592224"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.5048330426216125"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.41450726985931396"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.46921607851982117"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.33098340034484863"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.5116090774536133"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.4687359929084778"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.562400758266449"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.3045012354850769"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.43969476222991943"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.5430551767349243"
