Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.479995459318161"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3838062882423401"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.46163949370384216"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.3797098398208618"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.27607089281082153"
"Essential epidemiology: an introduction for students and health professionals","497","0.5338074564933777"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.35117286443710327"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3123573362827301"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.46605679392814636"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.40613484382629395"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.35278284549713135"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.3764325976371765"
"Suicide in Australian farming, 1988–1997","196","0.43310555815696716"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5083245635032654"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.38227924704551697"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.4069285988807678"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4223323166370392"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.48027506470680237"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.44932976365089417"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.3057742714881897"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.4649251699447632"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3091115653514862"
"Mental health and socio-economic variations in Australian suicide","0","0.5038741827011108"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5420094132423401"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.38474801182746887"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5705087184906006"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.4286714494228363"
"The decline in Australian young male suicide","102","0.41713210940361023"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.35040512681007385"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4259306788444519"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.42142972350120544"
"Applications of system dynamics modelling to support health policy","93","0.6121742129325867"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.615196168422699"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5600746870040894"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.35157129168510437"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.538292407989502"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.4247293174266815"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.3724489212036133"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4462087154388428"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.3926873803138733"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3839400112628937"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.3158425986766815"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.46905025839805603"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.4063672721385956"
"Divergent trends in suicide by socio-economic status in Australia","72","0.39549359679222107"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.6105226874351501"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.4424670934677124"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5906780362129211"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6129351258277893"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.5455474853515625"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.45970654487609863"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.4511268436908722"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.43844813108444214"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.4580504894256592"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.41737547516822815"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.3528652787208557"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.462918221950531"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5680604577064514"
"Spatial clusters of suicide in Australia","47","0.27771100401878357"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.43376967310905457"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.58616042137146"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.3991473913192749"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.3516649305820465"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.3701343834400177"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.4145251214504242"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.47450849413871765"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.5901080369949341"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.5517748594284058"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.38126057386398315"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.3924950659275055"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.40953877568244934"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.5915143489837646"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.4507530927658081"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.6037390232086182"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.3148517608642578"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.4713294804096222"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.6055874824523926"
"The impact of sociodemographic and health-service factors on breast-feeding in sub-Saharan African countries with high diarrhoea mortality","0","0.5954629182815552"
"Associations between climate variability, unemployment and suicide in Australia: a multicity study","32","0.3559269905090332"
"Determinants of early introduction of solid, semi-solid or soft foods among infants aged 3–5 months in four Anglophone West African countries","30","0.5395851135253906"
"The Australian epidemic of cardiovascular mortality 1935–2005: effects of period and birth cohort","30","0.45311838388442993"
"Recruitment to mammography screening: a randomised trial and meta‐analysis of invitation letters and telephone calls","30","0.6122338175773621"
"Predictors of non‐attendance from BreastScreen NSW in women who report current mammography screening","29","0.5934319496154785"
"Tuberculosis disease burden and attributable risk factors in Nigeria, 1990–2016","28","0.43792399764060974"
"A decision-support tool to inform Australian strategies for preventing suicide and suicidal behaviour","0","0.5870803594589233"
"Trends and factors associated with complementary feeding practices in Ethiopia from 2005 to 2016","27","0.6404045224189758"
"Systematic review of reporting rates of adverse events following immunization: an international comparison of post-marketing surveillance programs with reference to China","27","0.43704432249069214"
"Trends in socioeconomic inequalities in mortality from ischaemic heart disease and stroke in Australia, 1979–2006","27","0.38933512568473816"
"A decision support tool to inform local suicide prevention activity in Greater Western Sydney (Australia)","26","0.3450677990913391"
"Systems modelling tools to support policy and planning","26","0.4161568582057953"
"Assessment of provider-initiated HIV screening in Nigeria with sub-Saharan African comparison","26","0.41381338238716125"
"General practitioner attitudes to prescribing hepatitis C antiviral therapy in a community setting","26","0.3050514757633209"
"Mental disorders and socioeconomic status: impact on population risk of attempted suicide in Australia","26","0.6142776608467102"
"The prevalence of diabetes among adults aged 40 years and over in Fiji","25","0.27966567873954773"
"Suicide by hanging is a priority for suicide prevention: method specific suicide in India (2001–2014)","24","0.5247317552566528"
"Spatiotemporal variation in diabetes mortality in China: multilevel evidence from 2006 and 2012","24","0.3851402699947357"
"The effects of involuntary job loss on suicide and suicide attempts among young adults: Evidence from a matched case–control study","24","0.3887260854244232"
"Cancer detection and mammogram volume of radiologists in a population-based screening programme","24","0.48982518911361694"
"Population-based mammography screening and breast cancer incidence in New South Wales, Australia","23","0.350993812084198"
"Unemployment and youth suicide","23","0.35246559977531433"
"Static metrics of impact for a dynamic problem: The need for smarter tools to guide suicide prevention planning and investment","22","0.3190467059612274"
"Factors influencing risk of premature mortality in community cases of depression: a meta-analytic review","22","0.46140435338020325"
"Suicide in paradise: aftermath of the Bali bombings","22","0.36784008145332336"
"Intimate partner violence identified through routine antenatal screening and maternal and perinatal health outcomes","21","0.4186742603778839"
"Determinants of exclusive breastfeeding cessation in the early postnatal period among culturally and linguistically diverse (CALD) Australian mothers","21","0.5239725708961487"
"The impact of strengthening mental health services to prevent suicidal behaviour","21","0.3350774645805359"
"Have policy responses in Nigeria resulted in improvements in infant and young child feeding practices in Nigeria?","21","0.4410625994205475"
"Reforming mental health in China and India","21","0.41247332096099854"
"Stability and instability of subjective well-being in the transition from adolescence to young adulthood: Longitudinal evidence from 20991 young Australians","21","0.3406562805175781"
"Dynamic pattern of suicide in Australia, 1986–2005: a descriptive-analytic study","21","0.46230894327163696"
"SMS SOS: a randomized controlled trial to reduce self-harm and suicide attempts using SMS text messaging","20","0.28485119342803955"
"Development of the Australian neighborhood social fragmentation index and its association with spatial variation in depression across communities","20","0.29720765352249146"
"Population attributable risk of key modifiable risk factors associated with non-exclusive breastfeeding in Nigeria","20","0.44466254115104675"
"Geographical inequality in tobacco control in china: multilevel evidence from 98 058 participants","20","0.42772379517555237"
"All-age hospitalization rates in coal seam gas areas in Queensland, Australia, 1995–2011","20","0.3907942473888397"
"Factors associated with early introduction of formula and/or solid, semi-solid or soft foods in seven Francophone West African countries","20","0.5230599045753479"
"Mammography screening participation: Effects of a media campaign targeting Italian‐speaking women","20","0.5936152338981628"
"Trends and factors associated with the utilisation of antenatal care services during the Millennium Development Goals era in Tanzania","19","0.4341219365596771"
"Utilisation trends of rosiglitazone and pioglitazone in Australia before and after safety warnings","19","0.32540708780288696"
"Diarrhoea deaths and disability-adjusted life years attributable to suboptimal breastfeeding practices in Nigeria: findings from the global burden of disease study 2016","18","0.47061771154403687"
"The effect of leaving employment on mental health: testing ‘adaptation’versus ‘sensitisation’in a cohort of working-age Australians","18","0.5609816312789917"
"Breast cancer risk factors in Queensland women attending population-based mammography screening","18","0.48140230774879456"
"National suicide prevention strategies: A comparison","18","0.5559636950492859"
"Impacts of licensed premises trading hour policies on alcohol‐related harms","17","0.6381773352622986"
"Recent declines in Australian male suicide are real, not artefactual","17","0.47113245725631714"
"The geographic heterogeneity of suicide rates in India by religion, caste, tribe, and other backward classes.","16","0.43163353204727173"
"Factors influencing suicide in older rural males: a review of Australian studies","16","0.4357415735721588"
"Predictors of stillbirths in Bangladesh: evidence from the 2004–2014 nation-wide household surveys","16","0.43683695793151855"
