Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4486600160598755"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3327505886554718"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4248984158039093"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.36421164870262146"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.30114367604255676"
"Essential epidemiology: an introduction for students and health professionals","497","0.5217998027801514"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.34833312034606934"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.33543661236763"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.44308239221572876"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.42353081703186035"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.36867502331733704"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.34122148156166077"
"Suicide in Australian farming, 1988–1997","196","0.4534038007259369"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5228579640388489"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.37726810574531555"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.35630887746810913"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.3941490948200226"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.48804908990859985"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.45756053924560547"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.3318530023097992"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.44578680396080017"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3223128318786621"
"Mental health and socio-economic variations in Australian suicide","0","0.5130480527877808"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.49055421352386475"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.35590264201164246"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5218559503555298"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.40179112553596497"
"The decline in Australian young male suicide","102","0.4315986633300781"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3394102454185486"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4037836194038391"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.3954901695251465"
"Applications of system dynamics modelling to support health policy","93","0.5934246182441711"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5924679636955261"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5424864292144775"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.3192083239555359"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5299710631370544"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.4131495952606201"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.39275723695755005"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4702725410461426"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.3957849144935608"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3485611379146576"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.3278380036354065"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.43903613090515137"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.3793708384037018"
"Divergent trends in suicide by socio-economic status in Australia","72","0.39813023805618286"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5799338817596436"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.40174561738967896"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5777066946029663"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.5909029245376587"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.576029896736145"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.42619016766548157"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.4070444703102112"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.4072226583957672"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.46654608845710754"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.4107098877429962"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.35802075266838074"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.4259512424468994"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5188746452331543"
"Spatial clusters of suicide in Australia","47","0.3233323097229004"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.4037383198738098"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.565466046333313"
