Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4834854006767273"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.3725856840610504"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.5000678896903992"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.3581292927265167"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3205910325050354"
"Essential epidemiology: an introduction for students and health professionals","497","0.5125410556793213"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.38932743668556213"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3208455741405487"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.46866005659103394"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.4522832930088043"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.3617345988750458"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.3858845829963684"
"Suicide in Australian farming, 1988–1997","196","0.4438841938972473"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.4850270450115204"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.42114338278770447"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.42245081067085266"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4517686665058136"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.405015766620636"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.4075658619403839"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.38545677065849304"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.4670931398868561"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3027275502681732"
"Mental health and socio-economic variations in Australian suicide","0","0.5310111045837402"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5407859086990356"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.36428216099739075"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5630975365638733"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.4394930303096771"
"The decline in Australian young male suicide","102","0.4061060845851898"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3570852279663086"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.42316561937332153"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.40574121475219727"
"Applications of system dynamics modelling to support health policy","93","0.5861964821815491"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6091851592063904"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5519928336143494"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.34890440106391907"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5198484659194946"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.461055189371109"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.35109132528305054"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.4390949010848999"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.36259686946868896"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3895542025566101"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.32133758068084717"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.436217337846756"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.4134974479675293"
"Divergent trends in suicide by socio-economic status in Australia","72","0.3590673506259918"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.6004964113235474"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.44702523946762085"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5942927002906799"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6150479316711426"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.48847198486328125"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.48044419288635254"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.4908570349216461"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.46187469363212585"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.4793611764907837"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.3985682427883148"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.3766162395477295"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.51590496301651"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5383709073066711"
"Spatial clusters of suicide in Australia","47","0.31993597745895386"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.4010104537010193"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.6156895756721497"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.3909088671207428"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.411246120929718"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.37844759225845337"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.4241173267364502"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.4178813099861145"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.6014777421951294"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.5408928990364075"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.3995310068130493"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.370009183883667"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.4530540704727173"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.587414562702179"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.4498405158519745"
"Modifiable risk factors for attempted suicide in Australian clinical and community samples","36","0.6111829876899719"
"Adjustment for physical activity in studies of sedentary behaviour","34","0.32125306129455566"
"Global comparative assessments of life expectancy: the impact of migration with reference to Australia","34","0.48235827684402466"
"Birth cohort effects in New South Wales suicide, 1865–1998","33","0.5805032253265381"
"The impact of sociodemographic and health-service factors on breast-feeding in sub-Saharan African countries with high diarrhoea mortality","0","0.6274128556251526"
"Associations between climate variability, unemployment and suicide in Australia: a multicity study","32","0.38451796770095825"
"Determinants of early introduction of solid, semi-solid or soft foods among infants aged 3–5 months in four Anglophone West African countries","30","0.5223810076713562"
"The Australian epidemic of cardiovascular mortality 1935–2005: effects of period and birth cohort","30","0.4230597913265228"
"Recruitment to mammography screening: a randomised trial and meta‐analysis of invitation letters and telephone calls","30","0.6161038875579834"
"Predictors of non‐attendance from BreastScreen NSW in women who report current mammography screening","29","0.5856351852416992"
"Tuberculosis disease burden and attributable risk factors in Nigeria, 1990–2016","28","0.43157514929771423"
"A decision-support tool to inform Australian strategies for preventing suicide and suicidal behaviour","0","0.5845348834991455"
"Trends and factors associated with complementary feeding practices in Ethiopia from 2005 to 2016","27","0.6389752626419067"
"Systematic review of reporting rates of adverse events following immunization: an international comparison of post-marketing surveillance programs with reference to China","27","0.4589594602584839"
"Trends in socioeconomic inequalities in mortality from ischaemic heart disease and stroke in Australia, 1979–2006","27","0.3445746898651123"
"A decision support tool to inform local suicide prevention activity in Greater Western Sydney (Australia)","26","0.38490912318229675"
"Systems modelling tools to support policy and planning","26","0.4353564977645874"
"Assessment of provider-initiated HIV screening in Nigeria with sub-Saharan African comparison","26","0.39047062397003174"
"General practitioner attitudes to prescribing hepatitis C antiviral therapy in a community setting","26","0.2877533435821533"
"Mental disorders and socioeconomic status: impact on population risk of attempted suicide in Australia","26","0.6045520305633545"
"The prevalence of diabetes among adults aged 40 years and over in Fiji","25","0.2872907221317291"
"Suicide by hanging is a priority for suicide prevention: method specific suicide in India (2001–2014)","24","0.5184931755065918"
"Spatiotemporal variation in diabetes mortality in China: multilevel evidence from 2006 and 2012","24","0.4105857312679291"
"The effects of involuntary job loss on suicide and suicide attempts among young adults: Evidence from a matched case–control study","24","0.3508332669734955"
"Cancer detection and mammogram volume of radiologists in a population-based screening programme","24","0.48798447847366333"
"Population-based mammography screening and breast cancer incidence in New South Wales, Australia","23","0.30771133303642273"
"Unemployment and youth suicide","23","0.3257180154323578"
"Static metrics of impact for a dynamic problem: The need for smarter tools to guide suicide prevention planning and investment","22","0.3391450345516205"
"Factors influencing risk of premature mortality in community cases of depression: a meta-analytic review","22","0.49323570728302"
"Suicide in paradise: aftermath of the Bali bombings","22","0.41120654344558716"
"Intimate partner violence identified through routine antenatal screening and maternal and perinatal health outcomes","21","0.46875596046447754"
"Determinants of exclusive breastfeeding cessation in the early postnatal period among culturally and linguistically diverse (CALD) Australian mothers","21","0.5059955716133118"
"The impact of strengthening mental health services to prevent suicidal behaviour","21","0.40480726957321167"
"Have policy responses in Nigeria resulted in improvements in infant and young child feeding practices in Nigeria?","21","0.4671206772327423"
"Reforming mental health in China and India","21","0.4468713402748108"
"Stability and instability of subjective well-being in the transition from adolescence to young adulthood: Longitudinal evidence from 20991 young Australians","21","0.35275930166244507"
"Dynamic pattern of suicide in Australia, 1986–2005: a descriptive-analytic study","21","0.45611631870269775"
"SMS SOS: a randomized controlled trial to reduce self-harm and suicide attempts using SMS text messaging","20","0.3120936155319214"
"Development of the Australian neighborhood social fragmentation index and its association with spatial variation in depression across communities","20","0.3495387136936188"
"Population attributable risk of key modifiable risk factors associated with non-exclusive breastfeeding in Nigeria","20","0.45692911744117737"
"Geographical inequality in tobacco control in china: multilevel evidence from 98 058 participants","20","0.4135756492614746"
"All-age hospitalization rates in coal seam gas areas in Queensland, Australia, 1995–2011","20","0.4246984124183655"
"Factors associated with early introduction of formula and/or solid, semi-solid or soft foods in seven Francophone West African countries","20","0.5014094710350037"
"Mammography screening participation: Effects of a media campaign targeting Italian‐speaking women","20","0.593341588973999"
"Trends and factors associated with the utilisation of antenatal care services during the Millennium Development Goals era in Tanzania","19","0.4768376052379608"
"Utilisation trends of rosiglitazone and pioglitazone in Australia before and after safety warnings","19","0.3101712763309479"
"Diarrhoea deaths and disability-adjusted life years attributable to suboptimal breastfeeding practices in Nigeria: findings from the global burden of disease study 2016","18","0.4670619070529938"
"The effect of leaving employment on mental health: testing ‘adaptation’versus ‘sensitisation’in a cohort of working-age Australians","18","0.5020598769187927"
"Breast cancer risk factors in Queensland women attending population-based mammography screening","18","0.4812264144420624"
"National suicide prevention strategies: A comparison","18","0.5664688944816589"
"Impacts of licensed premises trading hour policies on alcohol‐related harms","17","0.6213751435279846"
"Recent declines in Australian male suicide are real, not artefactual","17","0.4986593723297119"
"The geographic heterogeneity of suicide rates in India by religion, caste, tribe, and other backward classes.","16","0.4903568625450134"
"Factors influencing suicide in older rural males: a review of Australian studies","16","0.40086111426353455"
"Predictors of stillbirths in Bangladesh: evidence from the 2004–2014 nation-wide household surveys","16","0.4461430013179779"
"Spatiotemporal variations in lung cancer mortality in China between 2006 and 2012: a multilevel analysis","16","0.4928566515445709"
"Age-specific interval breast cancers in New South Wales and meta-analysis of studies of women aged 40–49 years","16","0.38197240233421326"
"Health reform and mortality in China: multilevel time-series analysis of regional and socioeconomic inequities in a sample of 73 million","14","0.4340663254261017"
"Pharmacoepidemiology and the Australian regional prevalence of multiple sclerosis","14","0.43491414189338684"
"Associations between infant and young child feeding practices and acute respiratory infection and diarrhoea in Ethiopia: A propensity score matching approach","13","0.43809548020362854"
"Infant abusive head trauma incidence in Queensland, Australia","13","0.49128472805023193"
"Body mass index among Melanesian and Indian Fijians aged≥ 40 years living in Fiji","13","0.4254307150840759"
"Domestic violence and self-poisoning in Sri Lanka","0","0.49994945526123047"
"Factors associated with underweight, overweight, and obesity in reproductive age Tanzanian women","12","0.3956815004348755"
"The impact of reducing psychiatric beds on suicide rates","12","0.4084828495979309"
"Attributable risk and potential impact of interventions to reduce household air pollution associated with under-five mortality in South Asia","12","0.4876202940940857"
"Widening socioeconomic inequalities in Australian suicide, despite recent declines in suicide rates","12","0.3887668550014496"
"Spatiotemporal variations in chronic obstructive pulmonary disease mortality in China: multilevel evidence from 2006 to 2012","12","0.42544350028038025"
"Social connections and suicidal behaviour in young Australian adults: Evidence from a case–control study of persons aged 18–34 years in NSW, Australia","12","0.38845762610435486"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis. BMJ open. 2015; 5 (3): e006779","12","0.6401657462120056"
"Examination of child and adolescent hospital admission rates in Queensland, Australia, 1995–2011: A comparison of coal seam gas, coal mining, and rural areas","11","0.4841935932636261"
"Risk factors associated with injury and mortality from paediatric low speed vehicle incidents: a systematic review","11","0.2993744909763336"
"The health and safety of SA farmers, farm families and farm workers","11","0.5065785646438599"
"The CSG arena: a critical review of unconventional gas developments and best-practice health impact assessment in Queensland, Australia","10","0.4562455117702484"
"Potential impacts of modifiable behavioral and environmental exposures on reducing burden of under-five mortality associated with household air pollution in Nepal","10","0.5011736154556274"
"Multiple sclerosis disease modifying medicine utilisation in Australia","10","0.45815783739089966"
"Low‐speed vehicle run over fatalities in A ustralian children aged 0–5 years","10","0.5815529227256775"
"Upstairs and downstairs: socio-economic and gender interactions in herpes simplex virus type 2 seroprevalence in Australia","10","0.36085569858551025"
"Recall of farm hazards in Australian primary school age children using a 3‐d visual cue test","10","0.6304346323013306"
"Estimating patterns in the under-reporting of suicide deaths in India: comparison of administrative data and Global Burden of Disease Study estimates, 2005–2015","9","0.5002293586730957"
"Trends and determinants of underweight and overweight/obesity among urban Ethiopian women from 2000 to 2016","9","0.5686778426170349"
"Temporal trends and geographic variations in dementia mortality in China between 2006 and 2012","9","0.3837476670742035"
"Analysis of health service amenable and non-amenable mortality before and since China's expansion of health coverage in 2009","9","0.4469161033630371"
"Changes in method specific suicide following a national pesticide ban in India (2011–2014)","8","0.4872659146785736"
"Is increasing coal seam gas well development activity associated with increasing hospitalisation rates in Queensland, Australia? An exploratory analysis 1995–2011","8","0.5638096928596497"
"The Artificial University: decision support for universities in the COVID-19 era","7","0.3098507523536682"
"Global Maternal and Child Health Research collaboration (GloMACH)(2020). Associations between infant and young child feeding practices and acute respiratory infection and diarrhoea in Ethiopia: A propensity score matching approach","7","0.539702832698822"
"Perinatal distress and depression in culturally and linguistically diverse (CALD) Australian women: The role of psychosocial and obstetric factors","7","0.5539276003837585"
"Confluence of suicide and drug overdose epidemics in young Australian males: common causality?","7","0.29350733757019043"
"Lifting the lid on geographic complexity in the relationship between body mass index and education in China","7","0.4430680274963379"
"Socioeconomic and geographic correlates of intimate partner violence in Sri Lanka: Analysis of the 2016 Demographic and Health Survey","6","0.40088704228401184"
"The impact of transitions from employment to retirement on suicidal behaviour among older aged Australians","6","0.41067031025886536"
"BreastScreen Aotearoa: Independent Monitoring Report, Screening and assessment report of women attending BSA","6","0.4605819880962372"
"Using the'presenting problem'field in emergency department data improves the enumeration of intentional self-harm in NSW hospital settings","5","0.44809138774871826"
"Development of a self-harm monitoring system for Victoria","5","0.5003549456596375"
"Australian Suicide Prevention using Health-Linked Data (ASHLi): Protocol for a population-based case series study","5","0.4535571038722992"
"Suicide in India during the first year of the COVID-19 pandemic","4","0.5151000022888184"
"Ensuring older Australians remain socially connected during the COVID-19 isolation period","4","0.4676052927970886"
"Determinants of treatment non-attendance among those referred to primary mental health care services in Western Sydney, Australia: a retrospective cohort study","4","0.5685387849807739"
"Is the reported increase in young female hospital-treated intentional self-harm real or artefactual?","4","0.4306260645389557"
"A rise in Australian suicide? A reflection on the 2016 cause of death statistics","4","0.4617767632007599"
"The association of diabetes and BMI among Melanesian and Indian Fijians aged≥ 40 years","4","0.4031442403793335"
"Low education and mental health among older adults: the mediating role of employment and income","3","0.4370373487472534"
"Alcohol‐related suicide across Australia: a geospatial analysis","3","0.6259375214576721"
"Mapping Geographical Differences and Examining the Determinants of Childhood Stunting in Ethiopia: A Bayesian Geostatistical Analysis","3","0.5214097499847412"
"[In Press] Impact of Covid-19 physical distancing policies on incidence of intentional self-harm in Western Sydney","3","0.39596596360206604"
"This article is intended solely for the personal use of the individual user and is not to be disseminated broadly","3","0.6166835427284241"
"Geographical variation and correlates of tobacco smoking, second-hand smoke exposure, workplace tobacco prohibition, and pro-tobacco and counter-tobacco advertising in mainland China: a cross-sectional study of 98 058 participants","3","0.4015071988105774"
"When the presumption of innocence is not beneficial: periodic presumptive treatment for STIs and HIV in female sex workers","3","0.41555869579315186"
"BreastScreen Aotearoa Independent Monitoring Report: Screening and Assessment Report of Women Attending BSA (Women Screened January 2008 to December 2009)","3","0.3895922005176544"
"BreastScreen Aotearoa: Independent monitoring report, July-December 2006","3","0.5135407447814941"
"Cost-effectiveness of installing barriers at bridge and cliff sites for suicide prevention in Australia","2","0.24366772174835205"
"“Watch Me Grow-Electronic (WMG-E)” surveillance approach to identify and address child development, parental mental health, and psychosocial needs: study protocol","2","0.4029816687107086"
"Trends and determinants of HIV transmission among men who inject drugs in the Pokhara Valley, Nepal: analysis of cross-sectional studies","2","0.4488639533519745"
"Interventions to improve infant and young child feeding practices in Ethiopia: a systematic review","2","0.462593674659729"
"Environmentally-related health impact assessment of coal seam gas development activities in Queensland, Australia","2","0.5264178514480591"
"BREASTSCREEN AOTEAROA INDEPENDENT MONITORING REPORT","2","0.5487098097801208"
"“It's much easier than going to the dentist”: high levels of satisfaction in a mammography screening program","2","0.6203004717826843"
"The National Farm Injury Data Collection: data to inform farm injury prevention programs","2","0.4586625397205353"
"Developing indicators and measures of high-quality for Australian general practice","1","0.4594532549381256"
"Surveillance of hospital-presenting intentional self-harm in Western Sydney, Australia, during the implementation of a new self-harm reporting field.","1","0.4645198583602905"
"The impact of the COVID-19 pandemic on hospital-treated self-harm in Sydney (Australia)","1","0.40920084714889526"
"Imputing pre-diagnosis health behaviour in cancer registry data and investigating its relationship with oesophageal cancer survival time","1","0.33273014426231384"
"Determinants of treatment disengagement among those at risk of suicide referred to primary mental health care services in Western Sydney, Australia","1","0.4229480028152466"
"Augmenting cancer registry data with health survey data with no cases in common: the relationship between pre-diagnosis health behaviour and post-diagnosis survival in oesophageal cancer","1","0.3567200303077698"
"Referral patterns to primary mental health services in Western Sydney (Australia): an analysis of routinely collected data (2005–2018)","1","0.4471208155155182"
"Using estimated probability of pre-diagnosis behavior as a predictor of cancer survival time: an example in esophageal cancer","1","0.38690778613090515"
"Teaching epidemiology in Australia and New Zealand: What are the core and advanced concepts for epidemiological practitioners and researchers?","1","0.47454580664634705"
"Maternal Working Characteristic Is Associated with Child Underweight in Urban Middle-Class Families of Indonesia","1","0.5099284648895264"
"BreastScreen Aotearoa Independent Monitoring Report January-June 2005","1","0.5781511664390564"
"Impact of BMI on breast screening participation: a data linkage study: Kate Mcbride","0","0.6319330930709839"
"Indigeneity and likelihood of discharge to psychiatric hospital in an Australian deliberate self-poisoning hospital-treated cohort","0","0.505786120891571"
"Cost‐effectiveness of media reporting guidelines for the prevention of suicide","0","0.634112536907196"
"Watch me grow integrated (WMG-I): protocol for a cluster randomised controlled trial of a web-based surveillance approach for developmental screening in primary care settings","0","0.5009551048278809"
"A decline in Australian suicide during COVID-19? A reflection on the 2020 cause of death statistics in the context of long-term trends","0","0.47508132457733154"
"Protocol for a Delphi consensus study to select indicators of high-quality general practice to achieve Quality Equity and Systems Transformation in Primary Health Care (QUEST-PHC) in Australia","0","0.43851709365844727"
"Clinical and psychosocial factors associated with domestic violence among men and women in Kandy, Sri Lanka","0","0.44235411286354065"
"Trends in primary mental health care service use and subsequent self-harm in western Sydney Australia: policy and workforce implications","0","0.517183780670166"
"Antidepressant treatment trajectories and suicide attempt among Australians aged 45 years and older: A population study using individual prescription data","0","0.575775682926178"
"Computational Simulation Is a Vital Resource for Navigating the COVID-19 Pandemic","0","0.3338657021522522"
"Protocol: Watch me grow integrated (WMG-I): protocol for a cluster randomised controlled trial of a web-based surveillance approach for developmental screening in primary care settings","0","0.3873646557331085"
"Clinical and psychosocial factors associated with domestic violence among men and women in Kandy, Sri Lanka. PLOS Glob Public Health 2 (4): e0000129","0","0.5585338473320007"
"1439 Hepatitis B prevalence in the Indian Subcontinent: a systematic review and meta-analysis","0","0.5309104323387146"
