Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.5029257535934448"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.411118745803833"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.5361361503601074"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4515887498855591"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.35762712359428406"
"Essential epidemiology: an introduction for students and health professionals","497","0.5762872099876404"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.40674084424972534"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.37010014057159424"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.5269646048545837"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.5025787353515625"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.4089587330818176"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.4164917767047882"
"Suicide in Australian farming, 1988–1997","196","0.4315216839313507"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5972169637680054"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.4541904330253601"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.3937813341617584"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.5160855650901794"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.4937177896499634"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.5597854852676392"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.3857804536819458"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.5038191080093384"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3809405267238617"
"Mental health and socio-economic variations in Australian suicide","0","0.588807225227356"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5819103121757507"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3916759788990021"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.6743707656860352"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.44679364562034607"
"The decline in Australian young male suicide","102","0.4822514057159424"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.363553911447525"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.41526278853416443"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.4585057199001312"
"Applications of system dynamics modelling to support health policy","93","0.6805402040481567"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6909008026123047"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5457931756973267"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.32159581780433655"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.6047517657279968"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.5136122703552246"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.45862916111946106"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.5078252553939819"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.42534324526786804"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.4014226794242859"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.3569370210170746"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.5413194894790649"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.4697980284690857"
"Divergent trends in suicide by socio-economic status in Australia","72","0.41539624333381653"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.6421058177947998"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.4312889277935028"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.6714832186698914"
"Diarrhoea and suboptimal feeding practices in Nigeria: evidence from the national household surveys","59","0.6910980939865112"
"Duration of unemployment and suicide in Australia over the period 1985–2006: an ecological investigation by sex and age during rising versus declining national unemployment rates","56","0.5802214741706848"
"The burden of depressive disorders in South Asia, 1990–2016: findings from the global burden of disease study","54","0.4662448465824127"
"Household air pollution from use of cooking fuel and under-five mortality: The role of breastfeeding status and kitchen location in Pakistan","54","0.4499165713787079"
"The association between infant and young child feeding practices and diarrhoea in Tanzanian children","52","0.47320684790611267"
"Trends and socio-economic determinants of suicide in India: 2001–2013","51","0.5176562070846558"
"Suicide in young adults: psychiatric and socio-economic factors from a case–control study","50","0.46651342511177063"
"Parental socio-economic position during childhood as a determinant of self-harm in adolescence","50","0.47438013553619385"
"Household air pollution and under-five mortality in India (1992–2006)","49","0.4600393772125244"
"Trends and predictors of prelacteal feeding practices in Nigeria (2003–2013)","47","0.5926594734191895"
"Spatial clusters of suicide in Australia","47","0.39065107703208923"
"Comparison of the validity and reliability of two image classification systems for the assessment of mammogram quality","47","0.4912092685699463"
"Suicide differentials in Australian males and females by various measures of socio‐economic status, 1994–98","47","0.7275753021240234"
"Surveillance of Australian suicidal behaviour using the internet?","44","0.4620340168476105"
"Spatiotemporal variation and social determinants of suicide in China, 2006–2012: findings from a nationally representative mortality surveillance system","42","0.4272543787956238"
"The effectiveness of suicide prevention delivered by GPs: a systematic review and meta-analysis","41","0.4590980112552643"
"Determinants of trends in breast-feeding indicators in Nigeria, 1999–2013","41","0.41216644644737244"
"The role of under-employment and unemployment in recent birth cohort effects in Australian suicide","41","0.6094335913658142"
"Sociodemographic correlates of antidepressant utilisation in Australia","41","0.6648578643798828"
"Household air pollution and under-five mortality in Bangladesh (2004–2011)","40","0.6062862277030945"
"Internet searches for a specific suicide method follow its high-profile media coverage","40","0.4461959898471832"
"Effectiveness of Australian youth suicide prevention initiatives","39","0.4182617962360382"
"The impact of antenatal care, iron–folic acid supplementation and tetanus toxoid vaccination during pregnancy on child mortality in Bangladesh","38","0.44984525442123413"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in seven francophone W Est a frican countries","37","0.6608718037605286"
"Population attributable risk of modifiable risk factors associated with invasive breast cancer in women aged 45–69 years in Queensland, Australia","37","0.48386773467063904"
