Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.4231441915035248"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.34481313824653625"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4084708094596863"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.402020663022995"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.30497443675994873"
"Essential epidemiology: an introduction for students and health professionals","497","0.571717381477356"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.3184415400028229"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3527791202068329"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4152904152870178"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.5102692246437073"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.4005020260810852"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.34671133756637573"
"Suicide in Australian farming, 1988–1997","196","0.3687784671783447"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.48987746238708496"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.43250101804733276"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.3634186089038849"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.3733886182308197"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.47503089904785156"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.5571516156196594"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.46020710468292236"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.468731552362442"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3242546617984772"
"Mental health and socio-economic variations in Australian suicide","0","0.43121209740638733"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5410091876983643"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.4097760319709778"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.5412687659263611"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.35135138034820557"
"The decline in Australian young male suicide","102","0.4979749023914337"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3239034116268158"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4017505645751953"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.4284627437591553"
"Applications of system dynamics modelling to support health policy","93","0.6083016395568848"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5783105492591858"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.4655330181121826"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.29105475544929504"
