Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.491265207529068"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.4118919372558594"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.49311119318008423"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.36891722679138184"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3422335088253021"
"Essential epidemiology: an introduction for students and health professionals","497","0.5149993300437927"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.37965941429138184"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3614167869091034"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4861966073513031"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.45535361766815186"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.401045024394989"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.36143553256988525"
"Suicide in Australian farming, 1988–1997","196","0.4439418911933899"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5099486112594604"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.36547887325286865"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.4083172678947449"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.47777503728866577"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.44443875551223755"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.44899624586105347"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.39559683203697205"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.4127086400985718"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3367767632007599"
"Mental health and socio-economic variations in Australian suicide","0","0.5583530068397522"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5756031274795532"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.336285263299942"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.6351496577262878"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.39676809310913086"
"The decline in Australian young male suicide","102","0.4503627419471741"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.36275628209114075"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.3715002238750458"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.3806774914264679"
"Applications of system dynamics modelling to support health policy","93","0.6494344472885132"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.656052827835083"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5295246839523315"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.33482086658477783"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5545714497566223"
