Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.5367596745491028"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.4406615197658539"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.5000514388084412"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.36363741755485535"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3320711553096771"
"Essential epidemiology: an introduction for students and health professionals","497","0.5115256309509277"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.39585912227630615"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.358037531375885"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.501351535320282"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.4128892421722412"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.3803307116031647"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.37523117661476135"
"Suicide in Australian farming, 1988–1997","196","0.4530946910381317"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.5042276382446289"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.3618195652961731"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.43686598539352417"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.4736500084400177"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.46346038579940796"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.46068817377090454"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.382442831993103"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.4062161445617676"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.33414405584335327"
"Mental health and socio-economic variations in Australian suicide","0","0.5318956971168518"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5975117683410645"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3646221458911896"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.6439986228942871"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.4051588773727417"
"The decline in Australian young male suicide","102","0.44077664613723755"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.3481595516204834"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.37975090742111206"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.37590470910072327"
"Applications of system dynamics modelling to support health policy","93","0.6410304307937622"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.6786535382270813"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.5382608771324158"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.3719080090522766"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5766254663467407"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.5057573914527893"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.39709386229515076"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.48843085765838623"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.353445440530777"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3582618832588196"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.34042662382125854"
