Title,Citations,Similarities
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","13899","0.41894370317459106"
"Disability-adjusted life years (DALYs) for 291 diseases and injuries in 21 regions, 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","9996","0.32994014024734497"
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and injuries 1990–2010: a systematic analysis for the Global Burden of Disease Study 2010","8795","0.4487644135951996"
"Suicide risk and prevention during the COVID-19 pandemic","1270","0.4691205322742462"
"Prevalence of nonsuicidal self‐injury in nonclinical samples: Systematic review, meta‐analysis and meta‐regression","1167","0.3275423049926758"
"Essential epidemiology: an introduction for students and health professionals","497","0.5432549715042114"
"The burden attributable to mental and substance use disorders as risk factors for suicide: findings from the Global Burden of Disease Study 2010","452","0.3605896830558777"
"Long-term unemployment and suicide: a systematic review and meta-analysis","333","0.3035174310207367"
"Attributable risk of psychiatric and socio-economic factors for suicide from individual-level, population-based studies: a systematic review","317","0.4420303404331207"
"Child maltreatment, subsequent non-suicidal self-injury and the mediating roles of dissociation, alexithymia and self-blame","248","0.5224146842956543"
"Cause and effect in studies on unemployment, mental health and suicide: a meta-analytic and conceptual review","214","0.34286272525787354"
"An integrated national mortality surveillance system for death registration and mortality surveillance, China","212","0.3501398265361786"
"Suicide in Australian farming, 1988–1997","196","0.396461546421051"
"Risk factors for postneonatal, infant, child and under-5 mortality in Nigeria: a pooled cross-sectional analysis","180","0.47535809874534607"
"The impact of antenatal depression on perinatal outcomes in Australian women","166","0.35135510563850403"
"Determinants of neonatal mortality in Nigeria: evidence from the 2008 demographic and health survey","162","0.34979283809661865"
"A comparative risk assessment of burden of disease and injury attributable to 67 risk factors and risk factor clusters in 21 regions, 1990-2010: a systematic analysis for the Global Burden of Disease Study 2010","148","0.512834906578064"
"Predictors of continuation and cessation of nonsuicidal self-injury","144","0.4566144347190857"
"The impact of physical distancing policies during the COVID-19 pandemic on health and well-being among Australian adolescents","131","0.5169389843940735"
"Royal Australian and New Zealand College of Psychiatrists clinical practice guideline for the management of deliberate self-harm","127","0.426570862531662"
"Determinants of antenatal depression and postnatal depression in Australia","123","0.40641286969184875"
"Predictors of onset for non-suicidal self-injury within a school-based sample of adolescents","117","0.3489331305027008"
"Mental health and socio-economic variations in Australian suicide","0","0.5125728845596313"
"The impact of water and sanitation on childhood mortality in Nigeria: evidence from demographic and health surveys, 2003–2013","115","0.5366658568382263"
"Geographical variation in diabetes prevalence and detection in China: multilevel spatial analysis of 98,058 adults","114","0.3504556119441986"
"Infant feeding practices and diarrhoea in sub-Saharan African countries with high diarrhoea mortality","0","0.49887773394584656"
"Determinants of inadequate complementary feeding practices among children aged 6–23 months in Ghana","104","0.44718068838119507"
"The decline in Australian young male suicide","102","0.4209873676300049"
"Socio-economic differentials in mental disorders and suicide attempts in Australia","101","0.32152992486953735"
"Determinants of suboptimal breastfeeding practices in Nigeria: evidence from the 2008 demographic and health survey","100","0.4206303656101227"
"Prevalence and determinants of cessation of exclusive breastfeeding in the early postnatal period in Sydney, Australia","96","0.37783798575401306"
"Applications of system dynamics modelling to support health policy","93","0.5989372730255127"
"Social and psychiatric influences on urban–rural differentials in Australian suicide","89","0.5650327801704407"
"Trends in complementary feeding indicators in Nigeria, 2003–2013","88","0.509605348110199"
"The prevalence of sexually transmitted infections in Papua New Guinea: a systematic review and meta-analysis","86","0.3324410319328308"
"Risk factors for under-5 mortality: evidence from Bangladesh Demographic and Health Survey, 2004–2011","85","0.5311392545700073"
"Suicide by pesticide poisoning remains a priority for suicide prevention in China: analysis of national mortality trends 2006–2013","84","0.47975751757621765"
"Suicidal ideation, suicide attempts and non-suicidal self-injury among lesbian, gay, bisexual and heterosexual adults: Findings from an Australian national study","82","0.41757309436798096"
"Further increases in rural suicide in young Australian adults: secular trends, 1979–2003","82","0.40963315963745117"
"Suicide and political regime in New South Wales and Australia during the 20th century","82","0.46146851778030396"
"Trends and determinants of early initiation of breastfeeding and exclusive breastfeeding in Ethiopia from 2000 to 2016","81","0.3516474962234497"
"A modelling tool for policy analysis to support the design of efficient and effective policy responses for complex public health problems","78","0.30516621470451355"
"Social determinants of discharge destination for patients after stroke with low admission FIM instrument scores","78","0.4018031656742096"
"Cerebrovascular disease in 48 countries: secular trends in mortality 1950–2005","76","0.3884311318397522"
"Divergent trends in suicide by socio-economic status in Australia","72","0.3641837239265442"
"Regional prevalence and determinants of exclusive breastfeeding in India","71","0.5242716073989868"
"The effect of solid fuel use on childhood mortality in Nigeria: evidence from the 2013 cross-sectional household survey","64","0.3714390993118286"
"Determinants of suboptimal complementary feeding practices among children aged 6–23 months in four anglophone W est A frican countries","60","0.5694074630737305"
